split,budget,comparison,metric,mean,ci95,lower95,upper95,better_seeds,n
combined_safety_stress,0.05,counterfactual_boundary_learning_filter_v5_minus_recovery_policy_shield,accepted_transfer_violation,0.000000,0.000000,0.000000,0.000000,0,10
combined_safety_stress,0.05,counterfactual_boundary_learning_filter_v5_minus_recovery_policy_shield,accepted_utility,0.000000,0.000000,0.000000,0.000000,0,10
combined_safety_stress,0.05,counterfactual_boundary_learning_filter_v5_minus_safety_filter_distillation,coverage,0.000000,0.000000,0.000000,0.000000,0,10
combined_safety_stress,0.05,counterfactual_boundary_learning_filter_v5_minus_safety_filter_distillation,accepted_success,0.000000,0.000000,0.000000,0.000000,0,10
combined_safety_stress,0.05,counterfactual_boundary_learning_filter_v5_minus_safety_filter_distillation,accepted_deployed_violation,0.000000,0.000000,0.000000,0.000000,0,10
combined_safety_stress,0.05,counterfactual_boundary_learning_filter_v5_minus_safety_filter_distillation,accepted_unshielded_violation,0.000000,0.000000,0.000000,0.000000,0,10
combined_safety_stress,0.05,counterfactual_boundary_learning_filter_v5_minus_safety_filter_distillation,accepted_transfer_violation,0.000000,0.000000,0.000000,0.000000,0,10
combined_safety_stress,0.05,counterfactual_boundary_learning_filter_v5_minus_safety_filter_distillation,accepted_utility,0.000000,0.000000,0.000000,0.000000,0,10
combined_safety_stress,0.1,counterfactual_boundary_learning_filter_v5_minus_cbf_safety_filter,coverage,0.000000,0.000000,0.000000,0.000000,0,10
combined_safety_stress,0.1,counterfactual_boundary_learning_filter_v5_minus_cbf_safety_filter,accepted_success,0.000000,0.000000,0.000000,0.000000,0,10
combined_safety_stress,0.1,counterfactual_boundary_learning_filter_v5_minus_cbf_safety_filter,accepted_deployed_violation,0.000000,0.000000,0.000000,0.000000,0,10
combined_safety_stress,0.1,counterfactual_boundary_learning_filter_v5_minus_cbf_safety_filter,accepted_unshielded_violation,0.000000,0.000000,0.000000,0.000000,0,10
combined_safety_stress,0.1,counterfactual_boundary_learning_filter_v5_minus_cbf_safety_filter,accepted_transfer_violation,0.000000,0.000000,0.000000,0.000000,0,10
combined_safety_stress,0.1,counterfactual_boundary_learning_filter_v5_minus_cbf_safety_filter,accepted_utility,0.000000,0.000000,0.000000,0.000000,0,10
combined_safety_stress,0.1,counterfactual_boundary_learning_filter_v5_minus_robust_mpc_shield,coverage,0.000000,0.000000,0.000000,0.000000,0,10
combined_safety_stress,0.1,counterfactual_boundary_learning_filter_v5_minus_robust_mpc_shield,accepted_success,0.000000,0.000000,0.000000,0.000000,0,10
combined_safety_stress,0.1,counterfactual_boundary_learning_filter_v5_minus_robust_mpc_shield,accepted_deployed_violation,0.000000,0.000000,0.000000,0.000000,0,10
combined_safety_stress,0.1,counterfactual_boundary_learning_filter_v5_minus_robust_mpc_shield,accepted_unshielded_violation,0.000000,0.000000,0.000000,0.000000,0,10
combined_safety_stress,0.1,counterfactual_boundary_learning_filter_v5_minus_robust_mpc_shield,accepted_transfer_violation,0.000000,0.000000,0.000000,0.000000,0,10
combined_safety_stress,0.1,counterfactual_boundary_learning_filter_v5_minus_robust_mpc_shield,accepted_utility,0.000000,0.000000,0.000000,0.000000,0,10
combined_safety_stress,0.1,counterfactual_boundary_learning_filter_v5_minus_conformal_uncertainty_shield,coverage,0.000000,0.000000,0.000000,0.000000,0,10
combined_safety_stress,0.1,counterfactual_boundary_learning_filter_v5_minus_conformal_uncertainty_shield,accepted_success,0.000000,0.000000,0.000000,0.000000,0,10
combined_safety_stress,0.1,counterfactual_boundary_learning_filter_v5_minus_conformal_uncertainty_shield,accepted_deployed_violation,0.000000,0.000000,0.000000,0.000000,0,10
combined_safety_stress,0.1,counterfactual_boundary_learning_filter_v5_minus_conformal_uncertainty_shield,accepted_unshielded_violation,0.000000,0.000000,0.000000,0.000000,0,10
combined_safety_stress,0.1,counterfactual_boundary_learning_filter_v5_minus_conformal_uncertainty_shield,accepted_transfer_violation,0.000000,0.000000,0.000000,0.000000,0,10
combined_safety_stress,0.1,counterfactual_boundary_learning_filter_v5_minus_conformal_uncertainty_shield,accepted_utility,0.000000,0.000000,0.000000,0.000000,0,10
combined_safety_stress,0.1,counterfactual_boundary_learning_filter_v5_minus_recovery_policy_shield,coverage,0.000000,0.000000,0.000000,0.000000,0,10
combined_safety_stress,0.1,counterfactual_boundary_learning_filter_v5_minus_recovery_policy_shield,accepted_success,0.000000,0.000000,0.000000,0.000000,0,10
combined_safety_stress,0.1,counterfactual_boundary_learning_filter_v5_minus_recovery_policy_shield,accepted_deployed_violation,0.000000,0.000000,0.000000,0.000000,0,10
combined_safety_stress,0.1,counterfactual_boundary_learning_filter_v5_minus_recovery_policy_shield,accepted_unshielded_violation,0.000000,0.000000,0.000000,0.000000,0,10
combined_safety_stress,0.1,counterfactual_boundary_learning_filter_v5_minus_recovery_policy_shield,accepted_transfer_violation,0.000000,0.000000,0.000000,0.000000,0,10
combined_safety_stress,0.1,counterfactual_boundary_learning_filter_v5_minus_recovery_policy_shield,accepted_utility,0.000000,0.000000,0.000000,0.000000,0,10
combined_safety_stress,0.1,counterfactual_boundary_learning_filter_v5_minus_safety_filter_distillation,coverage,0.000000,0.000000,0.000000,0.000000,0,10
combined_safety_stress,0.1,counterfactual_boundary_learning_filter_v5_minus_safety_filter_distillation,accepted_success,0.000000,0.000000,0.000000,0.000000,0,10
combined_safety_stress,0.1,counterfactual_boundary_learning_filter_v5_minus_safety_filter_distillation,accepted_deployed_violation,0.000000,0.000000,0.000000,0.000000,0,10
combined_safety_stress,0.1,counterfactual_boundary_learning_filter_v5_minus_safety_filter_distillation,accepted_unshielded_violation,0.000000,0.000000,0.000000,0.000000,0,10
combined_safety_stress,0.1,counterfactual_boundary_learning_filter_v5_minus_safety_filter_distillation,accepted_transfer_violation,0.000000,0.000000,0.000000,0.000000,0,10
combined_safety_stress,0.1,counterfactual_boundary_learning_filter_v5_minus_safety_filter_distillation,accepted_utility,0.000000,0.000000,0.000000,0.000000,0,10
combined_safety_stress,0.15,counterfactual_boundary_learning_filter_v5_minus_cbf_safety_filter,coverage,0.000000,0.000000,0.000000,0.000000,0,10
combined_safety_stress,0.15,counterfactual_boundary_learning_filter_v5_minus_cbf_safety_filter,accepted_success,0.000000,0.000000,0.000000,0.000000,0,10
combined_safety_stress,0.15,counterfactual_boundary_learning_filter_v5_minus_cbf_safety_filter,accepted_deployed_violation,0.000000,0.000000,0.000000,0.000000,0,10
combined_safety_stress,0.15,counterfactual_boundary_learning_filter_v5_minus_cbf_safety_filter,accepted_unshielded_violation,0.000000,0.000000,0.000000,0.000000,0,10
combined_safety_stress,0.15,counterfactual_boundary_learning_filter_v5_minus_cbf_safety_filter,accepted_transfer_violation,0.000000,0.000000,0.000000,0.000000,0,10
combined_safety_stress,0.15,counterfactual_boundary_learning_filter_v5_minus_cbf_safety_filter,accepted_utility,0.000000,0.000000,0.000000,0.000000,0,10
combined_safety_stress,0.15,counterfactual_boundary_learning_filter_v5_minus_robust_mpc_shield,coverage,0.000000,0.000000,0.000000,0.000000,0,10
combined_safety_stress,0.15,counterfactual_boundary_learning_filter_v5_minus_robust_mpc_shield,accepted_success,0.000000,0.000000,0.000000,0.000000,0,10
combined_safety_stress,0.15,counterfactual_boundary_learning_filter_v5_minus_robust_mpc_shield,accepted_deployed_violation,0.000000,0.000000,0.000000,0.000000,0,10
combined_safety_stress,0.15,counterfactual_boundary_learning_filter_v5_minus_robust_mpc_shield,accepted_unshielded_violation,0.000000,0.000000,0.000000,0.000000,0,10
combined_safety_stress,0.15,counterfactual_boundary_learning_filter_v5_minus_robust_mpc_shield,accepted_transfer_violation,0.000000,0.000000,0.000000,0.000000,0,10
combined_safety_stress,0.15,counterfactual_boundary_learning_filter_v5_minus_robust_mpc_shield,accepted_utility,0.000000,0.000000,0.000000,0.000000,0,10
combined_safety_stress,0.15,counterfactual_boundary_learning_filter_v5_minus_conformal_uncertainty_shield,coverage,0.000000,0.000000,0.000000,0.000000,0,10
combined_safety_stress,0.15,counterfactual_boundary_learning_filter_v5_minus_conformal_uncertainty_shield,accepted_success,0.000000,0.000000,0.000000,0.000000,0,10
combined_safety_stress,0.15,counterfactual_boundary_learning_filter_v5_minus_conformal_uncertainty_shield,accepted_deployed_violation,0.000000,0.000000,0.000000,0.000000,0,10
combined_safety_stress,0.15,counterfactual_boundary_learning_filter_v5_minus_conformal_uncertainty_shield,accepted_unshielded_violation,0.000000,0.000000,0.000000,0.000000,0,10
combined_safety_stress,0.15,counterfactual_boundary_learning_filter_v5_minus_conformal_uncertainty_shield,accepted_transfer_violation,0.000000,0.000000,0.000000,0.000000,0,10
combined_safety_stress,0.15,counterfactual_boundary_learning_filter_v5_minus_conformal_uncertainty_shield,accepted_utility,0.000000,0.000000,0.000000,0.000000,0,10
combined_safety_stress,0.15,counterfactual_boundary_learning_filter_v5_minus_recovery_policy_shield,coverage,0.000000,0.000000,0.000000,0.000000,0,10
combined_safety_stress,0.15,counterfactual_boundary_learning_filter_v5_minus_recovery_policy_shield,accepted_success,0.000000,0.000000,0.000000,0.000000,0,10
combined_safety_stress,0.15,counterfactual_boundary_learning_filter_v5_minus_recovery_policy_shield,accepted_deployed_violation,0.000000,0.000000,0.000000,0.000000,0,10
combined_safety_stress,0.15,counterfactual_boundary_learning_filter_v5_minus_recovery_policy_shield,accepted_unshielded_violation,0.000000,0.000000,0.000000,0.000000,0,10
combined_safety_stress,0.15,counterfactual_boundary_learning_filter_v5_minus_recovery_policy_shield,accepted_transfer_violation,0.000000,0.000000,0.000000,0.000000,0,10
combined_safety_stress,0.15,counterfactual_boundary_learning_filter_v5_minus_recovery_policy_shield,accepted_utility,0.000000,0.000000,0.000000,0.000000,0,10
combined_safety_stress,0.15,counterfactual_boundary_learning_filter_v5_minus_safety_filter_distillation,coverage,0.000000,0.000000,0.000000,0.000000,0,10
combined_safety_stress,0.15,counterfactual_boundary_learning_filter_v5_minus_safety_filter_distillation,accepted_success,0.000000,0.000000,0.000000,0.000000,0,10
combined_safety_stress,0.15,counterfactual_boundary_learning_filter_v5_minus_safety_filter_distillation,accepted_deployed_violation,0.000000,0.000000,0.000000,0.000000,0,10
combined_safety_stress,0.15,counterfactual_boundary_learning_filter_v5_minus_safety_filter_distillation,accepted_unshielded_violation,0.000000,0.000000,0.000000,0.000000,0,10
combined_safety_stress,0.15,counterfactual_boundary_learning_filter_v5_minus_safety_filter_distillation,accepted_transfer_violation,0.000000,0.000000,0.000000,0.000000,0,10
combined_safety_stress,0.15,counterfactual_boundary_learning_filter_v5_minus_safety_filter_distillation,accepted_utility,0.000000,0.000000,0.000000,0.000000,0,10
